Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.20-192.168.1.21-49723-2404-6,192.168.1.20,49723,192.168.1.21,2404,6,28/04/2020 09:22:41 PM,113069188,10,13,70.0,134.0,16.0,6.0,7.0,3.1622776601683795,32.0,6.0,10.307692307692307,7.825009216018167,1.8042050500972908,0.20341527525606712,5139508.545454546,7234732.7079836065,21018847.0,343.0,98026506.0,10891834.0,7984054.184162143,21020193.0,2032754.0,113068432.0,9422369.333333334,8093783.264525146,21018847.0,12483.0,0,1,0,0,200,260,0.088441424024377,0.11497385123169013,6.0,32.0,8.750000000000002,6.2362893091826725,38.89130434782608,0,0,0,1,1,0,0,0,1.0,9.130434782608695,7.0,10.307692307692307,0,0,0,0,0,0,10,70,13,134,-1,256,10,0,1370394.8749999998,1658576.2194164726,3487222.0,343.0,12763159.125,7070713.77639939,21018847.0,6001908.0,NORMAL
192.168.1.20-192.168.1.24-49724-2404-6,192.168.1.20,49724,192.168.1.24,2404,6,28/04/2020 09:22:46 PM,108996049,10,13,70.0,134.0,16.0,6.0,7.0,3.1622776601683795,32.0,6.0,10.307692307692307,7.825009216018167,1.8716274752307764,0.2110168231877836,4954365.863636365,7281591.068206462,20947165.0,426.0,93934421.0,10437157.888888888,8064900.86093294,20985880.0,2056561.0,108995623.0,9082968.583333334,8343209.3279380575,20947165.0,9493.0,0,1,0,0,200,260,0.09174644486425376,0.11927037832352988,6.0,32.0,8.750000000000002,6.2362893091826725,38.89130434782608,0,0,0,1,1,0,0,0,1.0,9.130434782608695,7.0,10.307692307692307,0,0,0,0,0,0,10,70,13,134,-1,256,10,0,1877443.0,2680896.7511967584,6999645.0,433.0,13693360.285714287,7171637.107135481,20947165.0,6002299.0,NORMAL
192.168.1.20-192.168.1.25-49725-2404-6,192.168.1.20,49725,192.168.1.25,2404,6,28/04/2020 09:22:51 PM,105005328,9,12,64.0,128.0,16.0,6.0,7.111111111111112,3.333333333333333,32.0,6.0,10.666666666666666,8.060378215052753,1.8284786463406884,0.1999898519435128,5250266.3999999985,7552566.855469423,20913414.0,366.0,89910637.0,11238829.625,7954310.222255101,20914148.0,2999938.0,105004910.0,9545900.90909091,8505310.057144012,20913414.0,10687.0,0,1,0,0,180,240,0.08570993654721977,0.11427991539629302,6.0,32.0,9.000000000000002,6.466028441750299,41.809523809523796,0,0,0,1,1,0,0,0,1.0,9.428571428571429,7.111111111111112,10.666666666666666,0,0,0,0,0,0,9,64,12,128,-1,256,9,0,1479013.0,1869257.092205172,4078956.0,366.0,13521688.42857143,7385255.064728747,20913414.0,5737248.0,NORMAL
192.168.1.20-192.168.1.26-49728-2404-6,192.168.1.20,49728,192.168.1.26,2404,6,28/04/2020 09:22:59 PM,113032438,10,13,70.0,134.0,16.0,6.0,7.0,3.1622776601683795,32.0,6.0,10.307692307692307,7.825009216018167,1.8047916475091867,0.20348141123878088,5137838.090909091,7207936.140416907,20933806.0,295.0,98023269.0,10891474.333333332,7613640.697458837,21137790.0,2830546.0,113032058.0,9419338.166666664,8105967.308585479,20934467.0,5089.0,0,1,0,0,200,260,0.08847017879946993,0.11501123243931093,6.0,32.0,8.750000000000002,6.2362893091826725,38.89130434782608,0,0,0,1,1,0,0,0,1.0,9.130434782608695,7.0,10.307692307692307,0,0,0,0,0,0,10,70,13,134,-1,256,10,0,1321344.5,1592672.272642339,3551759.0,295.0,12807662.75,6868426.061878012,20933806.0,5998697.0,NORMAL
192.168.1.13-192.168.1.20-2404-49729-6,192.168.1.20,49729,192.168.1.13,2404,6,28/04/2020 09:23:06 PM,111028137,10,13,70.0,134.0,16.0,6.0,7.0,3.1622776601683795,32.0,6.0,10.307692307692307,7.825009216018167,1.8373720888426688,0.2071546962910852,5046733.5,7156970.03612431,20477159.0,446.0,96030548.0,10670060.888888888,7566678.899216476,20994312.0,2954271.0,111027691.0,9252307.583333332,8120548.608704412,20477846.0,31080.0,0,1,0,0,200,260,0.09006725925699356,0.11708743703409165,6.0,32.0,8.750000000000002,6.2362893091826725,38.89130434782608,0,0,0,1,1,0,0,0,1.0,9.130434782608695,7.0,10.307692307692307,0,0,0,0,0,0,10,70,13,134,-1,256,10,0,1274292.75,1698305.099230469,3471424.0,687.0,12604168.624999998,6930129.502040613,20477159.0,6000021.0,NORMAL
192.168.1.19-192.168.1.20-2404-49732-6,192.168.1.20,49732,192.168.1.19,2404,6,28/04/2020 09:23:13 PM,119841173,9,14,64.0,160.0,16.0,6.0,7.111111111111112,3.333333333333333,32.0,6.0,11.428571428571427,7.663241789561042,1.8691405832618144,0.19192068488848987,5447326.045454545,7420891.651110631,20992597.0,980.0,85002086.0,10625260.75,8216914.334335639,20997479.0,2033678.0,119841173.0,9218551.769230768,8198037.762944366,20992597.0,16992.0,0,1,0,0,180,280,0.07509939843462647,0.1168212864538634,6.0,32.0,9.583333333333336,6.486887554515457,42.07971014492753,0,0,0,1,1,0,0,0,1.0,10.0,7.111111111111112,11.428571428571427,0,0,0,0,0,0,9,64,14,160,-1,256,9,0,1291065.375,1543656.5990590502,3178911.0,980.0,13662066.125,6457553.017100792,20992597.0,5996840.0,NORMAL
192.168.1.20-192.168.1.22-49733-2404-6,192.168.1.20,49733,192.168.1.22,2404,6,28/04/2020 09:23:16 PM,119091785,11,15,76.0,166.0,16.0,6.0,6.909090909090909,3.015113445777636,32.0,6.0,11.066666666666665,7.5163314253190086,2.032046123080614,0.21831900495907425,4763671.4,6772438.817416242,20903706.0,432.0,103993471.0,10399347.1,7604435.17107011,20998423.0,2083398.0,116888533.0,8349180.928571427,7823176.771514159,20903706.0,16005.0,0,1,0,0,220,300,0.09236573286730064,0.1259532720917736,6.0,32.0,9.185185185185183,6.208164828780768,38.54131054131054,0,0,0,1,1,0,0,0,1.0,9.538461538461537,6.909090909090909,11.066666666666665,0,0,0,0,0,0,11,76,15,166,-1,256,11,0,1825001.25,2554761.4192457944,7022315.0,501.0,12758600.25,6771473.196017832,20903706.0,5999005.0,NORMAL
192.168.1.20-192.168.1.21-49723-2404-6,192.168.1.20,49723,192.168.1.21,2404,6,28/04/2020 09:24:54 PM,110313805,12,14,72.0,154.0,6.0,6.0,6.0,0.0,16.0,6.0,11.0,5.1887452166277095,2.048700976274003,0.2356912627571862,4412552.200000001,5617819.914295483,20110620.0,309.0,109870785.0,9988253.181818184,6610227.447097805,20111622.0,2868631.0,110313805.0,8485677.307692308,6450558.410973753,20110620.0,210972.0,0,1,0,0,240,280,0.108780582811009,0.1269106799461772,6.0,16.0,8.962962962962962,4.653216269680752,21.652421652421648,0,0,0,1,1,0,0,0,1.0,9.307692307692307,6.0,11.0,0,0,0,0,0,0,12,72,14,154,-1,256,12,0,1859311.6666666663,1795913.7390687782,3829961.0,438.0,10397713.666666668,5268154.150820118,20110620.0,5997699.0,NORMAL
192.168.1.20-192.168.1.24-49724-2404-6,192.168.1.20,49724,192.168.1.24,2404,6,28/04/2020 09:24:55 PM,109129219,12,14,72.0,154.0,6.0,6.0,6.0,0.0,16.0,6.0,11.0,5.1887452166277095,2.070939406246461,0.23824966620534505,4365168.76,5699558.114792645,20931196.0,383.0,108061434.0,9823766.727272727,6643903.810918368,20932661.0,2062306.0,109129219.0,8394555.307692308,6504370.707165238,20931196.0,208606.0,0,1,0,0,240,280,0.10996138440246694,0.1282882818028781,6.0,16.0,8.962962962962962,4.653216269680752,21.652421652421648,0,0,0,1,1,0,0,0,1.0,9.307692307692307,6.0,11.0,0,0,0,0,0,0,12,72,14,154,-1,256,12,0,1695774.4444444443,1609950.6659115453,3130450.0,396.0,10429650.777777776,5482454.4532689415,20931196.0,5997259.0,NORMAL
192.168.1.20-192.168.1.25-49725-2404-6,192.168.1.20,49725,192.168.1.25,2404,6,28/04/2020 09:24:56 PM,119299918,14,16,84.0,166.0,6.0,6.0,6.0,0.0,16.0,6.0,10.375,5.1234753829798,2.0955588586406235,0.2514670630368748,4113790.275862069,6293667.805703466,20900193.0,343.0,118106163.0,9085089.461538462,7335418.02878145,20993188.0,2103273.0,119299918.0,7953327.866666667,7553990.823054828,20900193.0,205522.0,0,1,0,0,280,320,0.11735129608387493,0.1341157669529999,6.0,16.0,8.580645161290322,4.448027229745693,19.784946236559147,0,0,0,1,1,0,0,0,1.0,8.866666666666667,6.0,10.375,0,0,0,0,0,0,14,84,16,166,-1,256,14,0,1766465.7777777778,1679294.2845692488,3300798.0,352.0,11489008.666666664,6888989.225452782,20900193.0,5996113.0,NORMAL
